begin,end,col_names
2,4,country
5,9,schoolID
10,14,stidstd
16,17,subnatio
21,22,st01q02
23,26,st01q03
27,28,st02q01
29,29,st03q01
30,30,st04q01
31,31,st04q02
32,32,st04q03
33,33,st04q04
34,34,st04q05
35,35,st04q06
36,36,st04q07
37,37,st04q08
38,38,st05q01
39,39,st05q02
40,40,st05q03
41,41,st06q01
42,42,st07q01
43,46,st09q01
47,50,st11q01
51,51,st12q01
52,52,st13q01
53,53,st14q01
54,54,st15q01
55,55,st16q01
56,56,st16q02
57,57,st16q03
58,58,st17q01
59,59,st18q01
60,60,st18q02
61,61,st18q03
62,62,st18q04
63,63,st18q05
64,64,st18q06
65,65,st19q01
66,66,st19q02
67,67,st19q03
68,68,st19q04
69,69,st19q05
70,70,st19q06
71,71,st20q01
72,72,st20q02
73,73,st20q03
74,74,st20q04
75,75,st20q05
76,76,st20q06
77,77,st21q01
78,78,st21q02
79,79,st21q03
80,80,st21q04
81,81,st21q05
82,82,st21q06
83,83,st21q07
84,84,st21q08
85,85,st21q09
86,86,st21q10
87,87,st21q11
88,88,st22q01
89,89,st22q02
90,90,st22q03
91,91,st22q04
92,92,st22q05
93,93,st22q06
94,94,st22q07
95,95,st23q01
96,96,st23q02
97,97,st23q03
98,98,st23q04
99,99,st24q01
100,100,st24q02
101,101,st24q03
102,102,st24q04
103,103,st24q05
104,104,st24q06
105,105,st24q07
106,106,st25q01
107,107,st26q01
108,108,st26q02
109,109,st26q03
110,110,st26q04
111,111,st26q05
112,112,st26q06
113,113,st26q07
114,114,st26q08
115,115,st26q09
116,116,st26q10
117,117,st26q11
118,118,st26q12
119,119,st26q13
120,120,st26q14
121,121,st26q15
122,122,st26q16
123,123,st26q17
124,125,st27q01
126,126,st27q02
127,128,st27q03
129,129,st27q04
130,131,st27q05
132,132,st27q06
133,134,st28q01
135,136,st28q02
137,138,st28q03
139,139,st29q01
140,140,st29q02
141,141,st29q03
142,142,st30q01
143,143,st30q02
144,144,st30q03
145,145,st30q04
146,146,st30q05
147,147,st31q01
148,148,st31q02
149,149,st31q03
150,150,st31q04
151,151,st31q05
152,152,st31q06
153,153,st31q07
154,154,st31q08
155,155,st32q01
156,156,st32q02
157,157,st32q03
158,158,st32q04
159,159,st32q05
160,160,st32q06
161,161,st32q07
162,162,st33q01
163,163,st33q02
164,164,st33q03
165,165,st34q01
166,166,st35q01
167,167,st35q02
168,168,st35q03
169,169,st35q04
170,170,st35q05
171,171,st35q06
172,172,st35q07
173,173,st35q08
174,174,st35q09
175,175,st36q01
176,176,st36q02
177,177,st36q03
178,178,st36q04
179,179,st36q05
180,180,st36q06
181,182,st37q01
183,183,st38q01
184,184,st39q01
185,185,st39q02
186,186,st39q03
187,187,st39q04
188,188,st39q05
189,192,st40q01
193,195,st41q01
196,198,st41q02
199,201,st41q03
202,202,st41q04
203,203,st41q05
204,204,st41q06
205,205,st41q07
206,206,st41q08
207,207,st41q09
209,210,bmmj
211,212,bfmj
213,214,bthr
216,216,it01q01
217,217,it01q02
218,218,it01q03
219,219,it01q04
220,220,it02q01
221,221,it02q02
222,222,it02q03
223,223,it03q01
224,224,it04q01
225,225,it04q02
226,226,it04q03
227,227,it04q04
228,228,it05q01
229,229,it05q02
230,230,it05q03
231,231,it05q04
232,232,it06q01
233,233,it06q02
234,234,it06q03
235,235,it06q04
236,236,it06q05
237,237,it07q01
238,238,it08q01
239,239,it09q01
240,240,it10q01
242,242,cc01q01
243,243,cc01q02
244,244,cc01q03
245,245,cc01q04
246,246,cc01q05
247,247,cc01q06
248,248,cc01q07
249,249,cc01q08
250,250,cc01q09
251,251,cc01q10
252,252,cc01q11
253,253,cc01q12
254,254,cc01q13
255,255,cc01q14
256,256,cc01q15
257,257,cc01q16
258,258,cc01q17
259,259,cc01q18
260,260,cc01q19
261,261,cc01q20
262,262,cc01q21
263,263,cc01q22
264,264,cc01q23
265,265,cc01q24
266,266,cc01q25
267,267,cc01q26
268,268,cc01q27
269,269,cc01q28
270,270,cc02q01
271,271,cc02q02
272,272,cc02q03
273,273,cc02q04
274,274,cc02q05
275,275,cc02q06
276,276,cc02q07
277,277,cc02q08
278,278,cc02q09
279,279,cc02q10
280,280,cc02q11
281,281,cc02q12
282,282,cc02q13
283,283,cc02q14
284,284,cc02q15
285,285,cc02q16
286,286,cc02q17
287,287,cc02q18
288,288,cc02q19
289,289,cc02q20
290,290,cc02q21
291,291,cc02q22
292,292,cc02q23
293,293,cc02q24
295,298,rmins
299,302,mmins
303,306,smins
307,309,age
310,310,famstruc
311,312,nsib
313,313,brthord
314,315,isei
316,317,hisei
318,318,fisced
319,319,misced
321,325,cultcom
326,330,soccom
331,335,famedsup
336,340,wealth
341,345,hedres
346,350,cultactv
351,355,cultposs
356,360,hmwktime
361,365,teachsup
366,370,disclima
371,375,studrel
376,380,achpress
381,385,belong
386,390,joyread
391,395,divread
397,401,comab
402,406,comuse
407,411,comatt
412,416,cstrat
417,421,effper
422,426,memor
427,431,selfef
432,436,cexp
437,441,elab
442,446,insmot
447,451,insmat
452,456,matcon
457,461,intrea
462,466,scacad
467,471,scverb
472,476,comlrn
477,481,coplrn
483,489,wlemath
490,496,wlerr_m
497,503,wleread
504,510,wlerr_r
511,517,wleread1
518,524,wlerr_r1
525,531,wleread2
532,538,wlerr_r2
539,545,wleread3
546,552,wlerr_r3
568,574,pv1math
575,581,pv2math
582,588,pv3math
589,595,pv4math
596,602,pv5math
603,609,pv1read
610,616,pv2read
617,623,pv3read
624,630,pv4read
631,637,pv5read
638,644,pv1read1
645,651,pv2read1
652,658,pv3read1
659,665,pv4read1
666,672,pv5read1
673,679,pv1read2
680,686,pv2read2
687,693,pv3read2
694,700,pv4read2
701,707,pv5read2
708,714,pv1read3
715,721,pv2read3
722,728,pv3read3
729,735,pv4read3
736,742,pv5read3
779,787,w_fstuwt
806,814,cntmfac
834,842,w_fstr1
843,851,w_fstr2
852,860,w_fstr3
861,869,w_fstr4
870,878,w_fstr5
879,887,w_fstr6
888,896,w_fstr7
897,905,w_fstr8
906,914,w_fstr9
915,923,w_fstr10
924,932,w_fstr11
933,941,w_fstr12
942,950,w_fstr13
951,959,w_fstr14
960,968,w_fstr15
969,977,w_fstr16
978,986,w_fstr17
987,995,w_fstr18
996,1004,w_fstr19
1005,1013,w_fstr20
1014,1022,w_fstr21
1023,1031,w_fstr22
1032,1040,w_fstr23
1041,1049,w_fstr24
1050,1058,w_fstr25
1059,1067,w_fstr26
1068,1076,w_fstr27
1077,1085,w_fstr28
1086,1094,w_fstr29
1095,1103,w_fstr30
1104,1112,w_fstr31
1113,1121,w_fstr32
1122,1130,w_fstr33
1131,1139,w_fstr34
1140,1148,w_fstr35
1149,1157,w_fstr36
1158,1166,w_fstr37
1167,1175,w_fstr38
1176,1184,w_fstr39
1185,1193,w_fstr40
1194,1202,w_fstr41
1203,1211,w_fstr42
1212,1220,w_fstr43
1221,1229,w_fstr44
1230,1238,w_fstr45
1239,1247,w_fstr46
1248,1256,w_fstr47
1257,1265,w_fstr48
1266,1274,w_fstr49
1275,1283,w_fstr50
1284,1292,w_fstr51
1293,1301,w_fstr52
1302,1310,w_fstr53
1311,1319,w_fstr54
1320,1328,w_fstr55
1329,1337,w_fstr56
1338,1346,w_fstr57
1347,1355,w_fstr58
1356,1364,w_fstr59
1365,1373,w_fstr60
1374,1382,w_fstr61
1383,1391,w_fstr62
1392,1400,w_fstr63
1401,1409,w_fstr64
1410,1418,w_fstr65
1419,1427,w_fstr66
1428,1436,w_fstr67
1437,1445,w_fstr68
1446,1454,w_fstr69
1455,1463,w_fstr70
1464,1472,w_fstr71
1473,1481,w_fstr72
1482,1490,w_fstr73
1491,1499,w_fstr74
1500,1508,w_fstr75
1509,1517,w_fstr76
1518,1526,w_fstr77
1527,1535,w_fstr78
1536,1544,w_fstr79
1545,1553,w_fstr80
1555,1557,cnt
1559,1566,math_waf
1568,1574,pv1math1
1575,1581,pv2math1
1582,1588,pv3math1
1589,1595,pv4math1
1596,1602,pv5math1
1603,1609,pv1math2
1610,1616,pv2math2
1617,1623,pv3math2
1624,1630,pv4math2
1631,1637,pv5math2
