begin,end,col_names,width,whole_places,frac_places
2,4,country,3,3,0
5,9,schoolid,5,5,0
10,14,stidstd,5,5,0
16,17,subnatio,2,2,0
21,22,st01q02,2,2,0
23,26,st01q03,4,4,0
27,28,st02q01,2,2,0
29,29,st03q01,1,1,0
30,30,st04q01,1,1,0
31,31,st04q02,1,1,0
32,32,st04q03,1,1,0
33,33,st04q04,1,1,0
34,34,st04q05,1,1,0
35,35,st04q06,1,1,0
36,36,st04q07,1,1,0
37,37,st04q08,1,1,0
38,38,st05q01,1,1,0
39,39,st05q02,1,1,0
40,40,st05q03,1,1,0
41,41,st06q01,1,1,0
42,42,st07q01,1,1,0
43,46,st09q01,4,4,0
47,50,st11q01,4,4,0
51,51,st12q01,1,1,0
52,52,st13q01,1,1,0
53,53,st14q01,1,1,0
54,54,st15q01,1,1,0
55,55,st16q01,1,1,0
56,56,st16q02,1,1,0
57,57,st16q03,1,1,0
58,58,st17q01,1,1,0
59,59,st18q01,1,1,0
60,60,st18q02,1,1,0
61,61,st18q03,1,1,0
62,62,st18q04,1,1,0
63,63,st18q05,1,1,0
64,64,st18q06,1,1,0
65,65,st19q01,1,1,0
66,66,st19q02,1,1,0
67,67,st19q03,1,1,0
68,68,st19q04,1,1,0
69,69,st19q05,1,1,0
70,70,st19q06,1,1,0
71,71,st20q01,1,1,0
72,72,st20q02,1,1,0
73,73,st20q03,1,1,0
74,74,st20q04,1,1,0
75,75,st20q05,1,1,0
76,76,st20q06,1,1,0
77,77,st21q01,1,1,0
78,78,st21q02,1,1,0
79,79,st21q03,1,1,0
80,80,st21q04,1,1,0
81,81,st21q05,1,1,0
82,82,st21q06,1,1,0
83,83,st21q07,1,1,0
84,84,st21q08,1,1,0
85,85,st21q09,1,1,0
86,86,st21q10,1,1,0
87,87,st21q11,1,1,0
88,88,st22q01,1,1,0
89,89,st22q02,1,1,0
90,90,st22q03,1,1,0
91,91,st22q04,1,1,0
92,92,st22q05,1,1,0
93,93,st22q06,1,1,0
94,94,st22q07,1,1,0
95,95,st23q01,1,1,0
96,96,st23q02,1,1,0
97,97,st23q03,1,1,0
98,98,st23q04,1,1,0
99,99,st24q01,1,1,0
100,100,st24q02,1,1,0
101,101,st24q03,1,1,0
102,102,st24q04,1,1,0
103,103,st24q05,1,1,0
104,104,st24q06,1,1,0
105,105,st24q07,1,1,0
106,106,st25q01,1,1,0
107,107,st26q01,1,1,0
108,108,st26q02,1,1,0
109,109,st26q03,1,1,0
110,110,st26q04,1,1,0
111,111,st26q05,1,1,0
112,112,st26q06,1,1,0
113,113,st26q07,1,1,0
114,114,st26q08,1,1,0
115,115,st26q09,1,1,0
116,116,st26q10,1,1,0
117,117,st26q11,1,1,0
118,118,st26q12,1,1,0
119,119,st26q13,1,1,0
120,120,st26q14,1,1,0
121,121,st26q15,1,1,0
122,122,st26q16,1,1,0
123,123,st26q17,1,1,0
124,125,st27q01,2,2,0
126,126,st27q02,1,1,0
127,128,st27q03,2,2,0
129,129,st27q04,1,1,0
130,131,st27q05,2,2,0
132,132,st27q06,1,1,0
133,134,st28q01,2,2,0
135,136,st28q02,2,2,0
137,138,st28q03,2,2,0
139,139,st29q01,1,1,0
140,140,st29q02,1,1,0
141,141,st29q03,1,1,0
142,142,st30q01,1,1,0
143,143,st30q02,1,1,0
144,144,st30q03,1,1,0
145,145,st30q04,1,1,0
146,146,st30q05,1,1,0
147,147,st31q01,1,1,0
148,148,st31q02,1,1,0
149,149,st31q03,1,1,0
150,150,st31q04,1,1,0
151,151,st31q05,1,1,0
152,152,st31q06,1,1,0
153,153,st31q07,1,1,0
154,154,st31q08,1,1,0
155,155,st32q01,1,1,0
156,156,st32q02,1,1,0
157,157,st32q03,1,1,0
158,158,st32q04,1,1,0
159,159,st32q05,1,1,0
160,160,st32q06,1,1,0
161,161,st32q07,1,1,0
162,162,st33q01,1,1,0
163,163,st33q02,1,1,0
164,164,st33q03,1,1,0
165,165,st34q01,1,1,0
166,166,st35q01,1,1,0
167,167,st35q02,1,1,0
168,168,st35q03,1,1,0
169,169,st35q04,1,1,0
170,170,st35q05,1,1,0
171,171,st35q06,1,1,0
172,172,st35q07,1,1,0
173,173,st35q08,1,1,0
174,174,st35q09,1,1,0
175,175,st36q01,1,1,0
176,176,st36q02,1,1,0
177,177,st36q03,1,1,0
178,178,st36q04,1,1,0
179,179,st36q05,1,1,0
180,180,st36q06,1,1,0
181,182,st37q01,2,2,0
183,183,st38q01,1,1,0
184,184,st39q01,1,1,0
185,185,st39q02,1,1,0
186,186,st39q03,1,1,0
187,187,st39q04,1,1,0
188,188,st39q05,1,1,0
189,192,st40q01,4,4,0
193,195,st41q01,3,3,0
196,198,st41q02,3,3,0
199,201,st41q03,3,3,0
202,202,st41q04,1,1,0
203,203,st41q05,1,1,0
204,204,st41q06,1,1,0
205,205,st41q07,1,1,0
206,206,st41q08,1,1,0
207,207,st41q09,1,1,0
209,210,bmmj,2,2,0
211,212,bfmj,2,2,0
213,214,bthr,2,2,0
216,216,it01q01,1,1,0
217,217,it01q02,1,1,0
218,218,it01q03,1,1,0
219,219,it01q04,1,1,0
220,220,it02q01,1,1,0
221,221,it02q02,1,1,0
222,222,it02q03,1,1,0
223,223,it03q01,1,1,0
224,224,it04q01,1,1,0
225,225,it04q02,1,1,0
226,226,it04q03,1,1,0
227,227,it04q04,1,1,0
228,228,it05q01,1,1,0
229,229,it05q02,1,1,0
230,230,it05q03,1,1,0
231,231,it05q04,1,1,0
232,232,it06q01,1,1,0
233,233,it06q02,1,1,0
234,234,it06q03,1,1,0
235,235,it06q04,1,1,0
236,236,it06q05,1,1,0
237,237,it07q01,1,1,0
238,238,it08q01,1,1,0
239,239,it09q01,1,1,0
240,240,it10q01,1,1,0
242,242,cc01q01,1,1,0
243,243,cc01q02,1,1,0
244,244,cc01q03,1,1,0
245,245,cc01q04,1,1,0
246,246,cc01q05,1,1,0
247,247,cc01q06,1,1,0
248,248,cc01q07,1,1,0
249,249,cc01q08,1,1,0
250,250,cc01q09,1,1,0
251,251,cc01q10,1,1,0
252,252,cc01q11,1,1,0
253,253,cc01q12,1,1,0
254,254,cc01q13,1,1,0
255,255,cc01q14,1,1,0
256,256,cc01q15,1,1,0
257,257,cc01q16,1,1,0
258,258,cc01q17,1,1,0
259,259,cc01q18,1,1,0
260,260,cc01q19,1,1,0
261,261,cc01q20,1,1,0
262,262,cc01q21,1,1,0
263,263,cc01q22,1,1,0
264,264,cc01q23,1,1,0
265,265,cc01q24,1,1,0
266,266,cc01q25,1,1,0
267,267,cc01q26,1,1,0
268,268,cc01q27,1,1,0
269,269,cc01q28,1,1,0
270,270,cc02q01,1,1,0
271,271,cc02q02,1,1,0
272,272,cc02q03,1,1,0
273,273,cc02q04,1,1,0
274,274,cc02q05,1,1,0
275,275,cc02q06,1,1,0
276,276,cc02q07,1,1,0
277,277,cc02q08,1,1,0
278,278,cc02q09,1,1,0
279,279,cc02q10,1,1,0
280,280,cc02q11,1,1,0
281,281,cc02q12,1,1,0
282,282,cc02q13,1,1,0
283,283,cc02q14,1,1,0
284,284,cc02q15,1,1,0
285,285,cc02q16,1,1,0
286,286,cc02q17,1,1,0
287,287,cc02q18,1,1,0
288,288,cc02q19,1,1,0
289,289,cc02q20,1,1,0
290,290,cc02q21,1,1,0
291,291,cc02q22,1,1,0
292,292,cc02q23,1,1,0
293,293,cc02q24,1,1,0
295,298,rmins,4,4,0
299,302,mmins,4,4,0
303,306,smins,4,4,0
307,309,age,3,3,0
310,310,famstruc,1,1,0
311,312,nsib,2,2,0
313,313,brthord,1,1,0
314,315,isei,2,2,0
316,317,hisei,2,2,0
318,318,fisced,1,1,0
319,319,misced,1,1,0
321,325,cultcom,5,2,2
326,330,soccom,5,2,2
331,335,famedsup,5,2,2
336,340,wealth,5,2,2
341,345,hedres,5,2,2
346,350,cultactv,5,2,2
351,355,cultposs,5,2,2
356,360,hmwktime,5,2,2
361,365,teachsup,5,2,2
366,370,disclima,5,2,2
371,375,studrel,5,2,2
376,380,achpress,5,2,2
381,385,belong,5,2,2
386,390,joyread,5,2,2
391,395,divread,5,2,2
397,401,comab,5,2,2
402,406,comuse,5,2,2
407,411,comatt,5,2,2
412,416,cstrat,5,2,2
417,421,effper,5,2,2
422,426,memor,5,2,2
427,431,selfef,5,2,2
432,436,cexp,5,2,2
437,441,elab,5,2,2
442,446,insmot,5,2,2
447,451,insmat,5,2,2
452,456,matcon,5,2,2
457,461,intrea,5,2,2
462,466,scacad,5,2,2
467,471,scverb,5,2,2
472,476,comlrn,5,2,2
477,481,coplrn,5,2,2
483,489,wlemath,7,4,2
490,496,wlerr_m,7,4,2
497,503,wleread,7,4,2
504,510,wlerr_r,7,4,2
511,517,wleread1,7,4,2
518,524,wlerr_r1,7,4,2
525,531,wleread2,7,4,2
532,538,wlerr_r2,7,4,2
539,545,wleread3,7,4,2
546,552,wlerr_r3,7,4,2
568,574,pv1math,7,4,2
575,581,pv2math,7,4,2
582,588,pv3math,7,4,2
589,595,pv4math,7,4,2
596,602,pv5math,7,4,2
603,609,pv1read,7,4,2
610,616,pv2read,7,4,2
617,623,pv3read,7,4,2
624,630,pv4read,7,4,2
631,637,pv5read,7,4,2
638,644,pv1read1,7,4,2
645,651,pv2read1,7,4,2
652,658,pv3read1,7,4,2
659,665,pv4read1,7,4,2
666,672,pv5read1,7,4,2
673,679,pv1read2,7,4,2
680,686,pv2read2,7,4,2
687,693,pv3read2,7,4,2
694,700,pv4read2,7,4,2
701,707,pv5read2,7,4,2
708,714,pv1read3,7,4,2
715,721,pv2read3,7,4,2
722,728,pv3read3,7,4,2
729,735,pv4read3,7,4,2
736,742,pv5read3,7,4,2
779,787,w_fstuwt,9,4,4
806,814,cntmfac,9,2,6
834,842,w_fstr1,9,4,4
843,851,w_fstr2,9,4,4
852,860,w_fstr3,9,4,4
861,869,w_fstr4,9,4,4
870,878,w_fstr5,9,4,4
879,887,w_fstr6,9,4,4
888,896,w_fstr7,9,4,4
897,905,w_fstr8,9,4,4
906,914,w_fstr9,9,4,4
915,923,w_fstr10,9,4,4
924,932,w_fstr11,9,4,4
933,941,w_fstr12,9,4,4
942,950,w_fstr13,9,4,4
951,959,w_fstr14,9,4,4
960,968,w_fstr15,9,4,4
969,977,w_fstr16,9,4,4
978,986,w_fstr17,9,4,4
