factor,levels
COUNTRY,COUNT
ST01Q02,NAMIS2
ST01Q03,NAMIS4
ST03Q01,ST0301
ST04Q01,YESNO
ST04Q02,YESNO
ST04Q03,YESNO
ST04Q04,YESNO
ST04Q05,YESNO
ST04Q06,YESNO
ST04Q07,YESNO
ST04Q08,YESNO
ST05Q01,NONE
ST05Q02,NONE
ST05Q03,NONE
ST06Q01,ST0601
ST07Q01,ST0701
ST09Q01,NAMIS4
ST11Q01,NAMIS4
ST12Q01,ST1201
ST13Q01,ST1301
ST14Q01,YESNO
ST15Q01,YESNO
ST16Q01,ST1601
ST16Q02,ST1602
ST16Q03,ST1603
ST17Q01,ST1701
ST18Q01,NEVER1
ST18Q02,NEVER1
ST18Q03,NEVER1
ST18Q04,NEVER1
ST18Q05,NEVER1
ST18Q06,NEVER1
ST19Q01,NEVER2
ST19Q02,NEVER2
ST19Q03,NEVER2
ST19Q04,NEVER2
ST19Q05,NEVER2
ST19Q06,NEVER2
ST20Q01,NEVER2
ST20Q02,NEVER2
ST20Q03,NEVER2
ST20Q04,NEVER2
ST20Q05,NEVER2
ST20Q06,NEVER2
ST21Q01,YESNO
ST21Q02,YESNO
ST21Q03,YESNO
ST21Q04,YESNO
ST21Q05,YESNO
ST21Q06,YESNO
ST21Q07,YESNO
ST21Q08,YESNO
ST21Q09,YESNO
ST21Q10,YESNO
ST21Q11,YESNO
ST22Q01,NONE2
ST22Q02,NONE2
ST22Q03,NONE2
ST22Q04,NONE2
ST22Q05,NONE2
ST22Q06,NONE2
ST22Q07,NONE2
ST23Q01,NEVER3
ST23Q02,NEVER3
ST23Q03,NEVER3
ST23Q04,NEVER3
ST24Q01,NEVER3
ST24Q02,NEVER3
ST24Q03,NEVER3
ST24Q04,NEVER3
ST24Q05,NEVER3
ST24Q06,NEVER3
ST24Q07,NEVER3
ST25Q01,ST2501
ST26Q01,NEVER4
ST26Q02,NEVER4
ST26Q03,NEVER4
ST26Q04,NEVER4
ST26Q05,NEVER4
ST26Q06,NEVER4
ST26Q07,NEVER4
ST26Q08,NEVER4
ST26Q09,NEVER4
ST26Q10,NEVER4
ST26Q11,NEVER4
ST26Q12,NEVER4
ST26Q13,NEVER4
ST26Q14,NEVER4
ST26Q15,NEVER4
ST26Q16,NEVER4
ST26Q17,NEVER4
ST27Q02,YESNO
ST27Q04,YESNO
ST27Q06,YESNO
ST29Q01,NONE3
ST29Q02,NONE3
ST29Q03,NONE3
ST30Q01,STRONG
ST30Q02,STRONG
ST30Q03,STRONG
ST30Q04,STRONG
ST30Q05,STRONG
ST31Q01,STRONG
ST31Q02,STRONG
ST31Q03,STRONG
ST31Q04,STRONG
ST31Q05,STRONG
ST31Q06,STRONG
ST31Q07,STRONG
ST31Q08,STRONG
ST32Q01,NEVER5
ST32Q02,NEVER5
ST32Q03,NEVER5
ST32Q04,NEVER5
ST32Q05,NEVER5
ST32Q06,NEVER5
ST32Q07,NEVER5
ST33Q01,ST3301
ST33Q02,ST3302
ST33Q03,ST3303
ST34Q01,ST3401
ST35Q01,STRONG
ST35Q02,STRONG
ST35Q03,STRONG
ST35Q04,STRONG
ST35Q05,STRONG
ST35Q06,STRONG
ST35Q07,STRONG
ST35Q08,STRONG
ST35Q09,STRONG
ST36Q01,NEVER2
ST36Q02,NEVER2
ST36Q03,NEVER2
ST36Q04,NEVER2
ST36Q05,NEVER2
ST36Q06,NEVER2
ST37Q01,ST3701
ST38Q01,ST3801
ST39Q01,NEVER2
ST39Q02,NEVER2
ST39Q03,NEVER2
ST39Q04,NEVER2
ST39Q05,NEVER2
ST40Q01,NAMIS4
ST41Q04,ST4104
ST41Q05,ST4105
ST41Q06,ST4106
ST41Q07,ST4107
ST41Q08,ST4108
ST41Q09,ST4109
IT01Q01,EVERY
IT01Q02,EVERY
IT01Q03,EVERY
IT01Q04,EVERY
IT02Q01,IT02
IT02Q02,IT02
IT02Q03,IT02
IT03Q01,IT03
IT04Q01,EVERY
IT04Q02,EVERY
IT04Q03,EVERY
IT04Q04,EVERY
IT05Q01,EVERY
IT05Q02,EVERY
IT05Q03,EVERY
IT05Q04,EVERY
IT06Q01,EVERY
IT06Q02,EVERY
IT06Q03,EVERY
