column,key,value
COUNT,036,AUSTRALIA
COUNT,040,AUSTRIA
COUNT,056,BELGIUM
COUNT,076,BRAZIL
COUNT,124,CANADA
COUNT,203,CZECH REPUBLIC
COUNT,208,DENMARK
COUNT,246,FINLAND
COUNT,250,FRANCE
COUNT,276,GERMANY
COUNT,300,GREECE
COUNT,348,HUNGARY
COUNT,352,ICELAND
COUNT,372,IRELAND
COUNT,380,ITALY
COUNT,392,JAPAN
COUNT,410,"KOREA, REPUBLIC OF"
COUNT,428,LATVIA
COUNT,438,LIECHTENSTEIN
COUNT,442,LUXEMBOURG
COUNT,484,MEXICO
COUNT,528,NETHERLANDS
COUNT,554,NEW ZEALAND
COUNT,578,NORWAY
COUNT,616,POLAND
COUNT,620,PORTUGAL
COUNT,643,RUSSIAN FEDERATION
COUNT,724,SPAIN
COUNT,752,SWEDEN
COUNT,756,SWITZERLAND
COUNT,826,UNITED KINGDOM
COUNT,840,UNITED STATES
COUNT,008,ALBANIA
COUNT,032,ARGENTINA
COUNT,100,BULGARIA
COUNT,152,CHILE
COUNT,344,HONG KONG
COUNT,360,INDONESIA
COUNT,376,ISRAEL
COUNT,604,PERU
COUNT,642,ROMANIA
COUNT,764,THAILAND
COUNT,807,MACEDONIA
NAMIS2,99,Mis
NAMIS4,9999,Miss
NAMIS2,99,Mis
ST0301,1,Female
ST0301,2,Male
ST0301,8,M/R
ST0301,9,Mis
YESNO,1,Yes
YESNO,2,No
YESNO,8,M/R
YESNO,9,Mis
NONE,2,One
NONE,3,Two
NONE,4,Three
NONE,5,Four or more
NONE,8,M/R
NONE,9,Mis
ST0601,1,Working full-time
ST0601,2,Working part-time
ST0601,3,Looking for job
ST0601,4,Other
ST0601,8,M/R
ST0601,9,Mis
ST0701,1,Working full-time
ST0701,2,Working part-time
ST0701,3,Looking for job
ST0701,4,Other
ST0701,8,M/R
ST0701,9,Mis
ST1201,1,Didn't go to school
ST1201,2,Completed (level 1)
ST1201,3,Completed (level 2)
ST1201,4,Completed (level 3B or 3C)
ST1201,5,Completed (level 3A)
ST1201,8,M/R
ST1201,9,Mis
ST1301,1,Didn't go to school
ST1301,2,Completed (level 1)
ST1301,3,Completed (level 2)
ST1301,4,Completed (level 3B or 3C)
ST1301,5,Completed (level 3A)
ST1301,8,M/R
ST1301,9,Mis
ST1601,1,<Country of Test>
ST1601,2,Other
ST1601,8,M/R
ST1601,9,Mis
ST1602,1,<Country of Test>
ST1602,2,Other
ST1602,8,M/R
ST1602,9,Mis
ST1603,1,<Country of Test>
ST1603,2,Other
ST1603,8,M/R
ST1603,9,Mis
ST1701,1,<Test language>
ST1701,2,<Other official languages>
ST1701,3,<National Dialect>
ST1701,4,<Other Languages>
ST1701,8,M/R
ST1701,9,Mis
NEVER1,1,Never
NEVER1,2,1 or 2 times a year
NEVER1,3,3 or 4 times a year
NEVER1,4,More 4 times a year
NEVER1,8,M/R
NEVER1,9,Mis
NEVER2,1,Never
NEVER2,2,Few times/year
NEVER2,3,Once a month
NEVER2,4,Several times/month
NEVER2,5,Several times/week
NEVER2,8,M/R
NEVER2,9,Mis
NONE2,2,One
NONE2,3,Two
NONE2,4,3 or more
NONE2,8,M/R
NONE2,9,Mis
NEVER3,1,Never
NEVER3,2,Some
NEVER3,3,Regular
NEVER3,8,M/R
NEVER3,9,Mis
