variable,label                                                                                                      
country,"Country ID"
cnt,"Country Alphanumeric ISO Code"
subnatio,"Adjudicated sub-region"
SchoolID,"School ID"
StIDStd,"Student ID"
ST01Q01,"Grade Q1a"
ST02Q02,"Birth Month Q1Month"
ST02Q03,"Birth Year Q1Year"
ST03Q01,"Sex Q3"
ST04Q01,"Lives at home Mother  Q4a"
ST04Q02,"Lives at home female guard. Q4b"
ST04Q03,"Lives at home Father  Q4c"
ST04Q04,"Lives at home male guard. Q4d"
ST04Q05,"Lives at home Others Q4e"
ST05Q01,"Mother currently doing Q5"
ST06Q01,"Father currently doing Q6"
ST07Q01,"Mother's main job  Q7"
ST09Q01,"Father's main job  Q9"
ST12Q01,"Mother <ISCED5A or 6>  Q12a"
ST12Q02,"Mother <ISCED5B>  Q12b"
ST12Q03,"Mother <ISCED4>  Q12c"
ST14Q01,"Father <ISCED 5A or 6>  Q14a"
ST14Q02,"Father <ISCED 5B>  Q14b"
ST14Q03,"Father <ISCDED 4>  Q14c"
ST15Q01,"Country of birth Self  Q15a_a"
ST15Q02,"Country of birth Mother  Q15a_b"
ST15Q03,"Country of birth Father  Q15a_c"
ST15Q04,"Country of birth Age Q15b"
ST16Q01,"Language at home Q16"
ST17Q01,"Possessions desk Q17a"
ST17Q02,"Possessions own room Q17b"
ST17Q03,"Possessions study place Q17c"
ST17Q04,"Possessions  computer  Q17d"
ST17Q05,"Possessions software Q17e"
ST17Q06,"Possessions Internet Q17f"
ST17Q07,"Possessions calculator Q17g"
ST17Q08,"Possessions literature Q17h"
ST17Q09,"Possessions poetry Q17i"
ST17Q10,"Possessions art Q17j"
ST17Q11,"Possessions textbooks Q17k"
ST17Q12,"Possessions dictionary Q17l"
ST17Q13,"Possessions dishwasher Q17m"
ST17Q14,"Possessions <Cntry item 1>  Q17n"
ST17Q15,"Possessions <Cntry item 2>  Q17o"
ST17Q16,"Possessions <Cntry item 3>  Q17p"
ST19Q01,"How many books at home Q19"
ST20Q01,"Attend <ISCED 0> Q20"
ST21Q01,"<ISCED 1>Years Q21"
ST22Q01,"Repeat <ISCED 1>  Q22a"
ST22Q02,"Repeat <ISCED 2>  Q22b"
ST22Q03,"Repeat <ISCED 3>  Q22c"
ST23Q01,"Expect <ISCED 2> Q23a"
ST23Q02,"Expect <ISCED 3B or 3C> Q23b"
ST23Q03,"Expect <ISCED 3A> Q23c"
ST23Q04,"Expect <ISCED 4> Q23d"
ST23Q05,"Expect <ISCED 5B> Q23e"
ST23Q06,"Expect <ISCED 5A or 6> Q23f"
ST24Q01,"School done little Q24a"
ST24Q02,"School waste of time  Q24b"
ST24Q03,"School given confidence Q24c"
ST24Q04,"School useful Q24d"
ST25Q01,"Attend local   Q25a"
ST25Q02,"Attend better  Q25b"
ST25Q03,"Attend specific program Q25c"
ST25Q04,"Attend religious Q25d"
ST25Q05,"Attend family Q25e"
ST25Q06,"Attend Other Q25f"
ST26Q01,"Well with Students Q26a"
ST26Q02,"Interested in Students  Q26b"
ST26Q03,"Listen to me Q26c"
ST26Q04,"Give extra help Q26d"
ST26Q05,"Treat me fairly Q26e"
ST27Q01,"Feel an outsider Q27a"
ST27Q02,"Make friends Q27b"
ST27Q03,"Feel I belong Q27c"
ST27Q04,"Feel awkward Q27d"
ST27Q05,"Think I'm liked Q27e"
ST27Q06,"Feel lonely Q27f"
ST28Q01,"Late for school Q28"
ST29Q01,"Hours All  homework  Q29a"
ST29Q02,"Hours All <Remedial> Q29b"
ST29Q03,"Hours All <Enrichment> Q29c"
ST29Q04,"Hours All  tutor Q29d"
ST29Q05,"Hours All  <out-of-school> Q29e"
ST29Q06,"Hours All  other study Q29f"
ST30Q01,"Attitude enjoy reading Q30a"
ST30Q02,"Attitude effort Q30b"
ST30Q03,"Attitude look forward Q30c"
ST30Q04,"Attitude enjoy Maths  Q30d"
ST30Q05,"Attitude career  Q30e"
ST30Q06,"Attitude interested Q30f"
ST30Q07,"Attitude further study Q30g"
ST30Q08,"Attitude job  Q30h"
ST31Q01,"Confident timetable Q31a"
ST31Q02,"Confident discount  Q31b"
ST31Q03,"Confident area Q31c"
ST31Q04,"Confident graphs Q31d"
ST31Q05,"Confident linear Q31e"
ST31Q06,"Confident distance Q31f"
ST31Q07,"Confident quadratics Q31g"
ST31Q08,"Confident rate  Q31h"
ST32Q01,"Feel study_worry Q32a"
ST32Q02,"Feel study_not good Q32b"
ST32Q03,"Feel study_tense Q32c"
ST32Q04,"Feel study_good <marks>  Q32d"
ST32Q05,"Feel study_nervous Q32e"
ST32Q06,"Feel study_quickly  Q32f"
ST32Q07,"Feel study_best subject Q32g"
ST32Q08,"Feel study_helpless Q32h"
ST32Q09,"Feel study_underst. diffc. Q32i"
ST32Q10,"Feel study_poor <marks> Q32j"
ST33Q01,"Hours Maths  homework Q33a"
ST33Q02,"Hours Maths <Remedial> Q33b"
ST33Q03,"Hours Maths  <Enrichment> Q33c"
ST33Q04,"Hours  Maths  tutor Q33d"
ST33Q05,"Hours Maths  <out-of-school>  Q33e"
ST33Q06,"Hours Maths other   Q33f"
ST34Q01,"Learn_important parts Q34a"
ST34Q02,"Learn_new ways Q34b"
ST34Q03,"Learn_check myself  Q34c"
ST34Q04,"Learn_concepts Q34d"
ST34Q05,"Learn_everyday life Q34e"
ST34Q06,"Learn_solve when sleep  Q34f"
ST34Q07,"Learn_by heart  Q34g"
ST34Q08,"Learn_by relating Q34h"
ST34Q09,"Learn_examples Q34i"
ST34Q10,"Learn_clarify  Q34j"
ST34Q11,"Learn_applied Q34k"
ST34Q12,"Learn_exactly Q34l"
ST34Q13,"Learn_procedure Q34m"
ST34Q14,"Learn_relate Q34n"
ST35Q02,"Maths <class periods> Q35b"
ST35Q03,"All <class periods> Q35c"
ST36Q01,"Students in Maths Q36"
ST37Q01,"Attitudes be the best Q37a"
ST37Q02,"Attitudes group work Q37b"
ST37Q03,"Attitudes exams Q37c"
ST37Q04,"Attitudes project  Q37d"
ST37Q05,"Attitudes effort  Q37e"
ST37Q06,"Attitudes work with other Q37f"
ST37Q07,"Attitudes do better Q37g"
ST37Q08,"Attitudes helping Q37h"
ST37Q09,"Attitudes learn most  Q37i"
ST37Q10,"Attitudes best work Q37j"
ST38Q01,"Lesson interested Q38a"
ST38Q02,"Lesson don’t listen Q38b"
ST38Q03,"Lesson extra help Q38c"
ST38Q04,"Lesson book work Q38d"
ST38Q05,"Lesson help learning  Q38e"
ST38Q06,"Lesson noise  Q38f"
ST38Q07,"Lesson understand Q38g"
ST38Q08,"Lesson <quieten down>  Q38h"
ST38Q09,"Lesson can't work well Q38i"
ST38Q10,"Lesson opinions Q38j"
