column,key,value
NAMIS4,9997,N/A
NAMIS4,9998,Invalid
NAMIS4,9999,Miss
NAMIS3,997,N/A
NAMIS3,998,Invalid
NAMIS3,999,Mis
NAMIS2,97,N/A
NAMIS2,98,Invalid
NAMIS2,99,Mis
ST0301,1,Female
ST0301,2,Male
ST0301,8,Invalid
ST0301,9,Miss
ST0301,7,N/A
TICK,1,Tick
TICK,2,No Tick
TICK,8,Invalid
ST0501,1,Working Full-time
ST0501,2,Working Part-Time
ST0501,3,Looking for work
ST0501,4,Other
ST0501,8,Invalid
ST0501,9,Miss
ST0501,7,N/A
ST1501,1,<Country of Test>
ST1501,2,Other
ST1501,97,N/A
ST1501,98,Invalid
ST1501,99,Miss
ST1601,1,<Test language>
ST1601,2,<Other national language>
ST1601,3,<Other national dialects>
ST1601,4,<Other>
ST1601,97,N/A
ST1601,98,Invalid
ST1601,99,Miss
NONE,1,None
NONE,2,One
NONE,3,Two
NONE,4,Three or more
NONE,8,Invalid
NONE,9,Miss
NONE,7,N/A
ST1901,1,0-10 books
ST1901,2,11-25 books
ST1901,3,26-100 books
ST1901,4,101-200 books
ST1901,5,201-500 books
ST1901,6,More than 500 books
ST1901,8,Invalid
ST1901,9,Miss
ST1901,7,N/A
ST2001,1,No
ST2001,2,"Yes, one year or less"
ST2001,3,"Yes, more than one year"
ST2001,8,Invalid
ST2001,9,Miss
ST2001,7,N/A
ST2201,1,"No, never"
ST2201,2,"Yes, once"
ST2201,3,"Yes, twice or more"
ST2201,8,Invalid
ST2201,9,Miss
ST2201,7,N/A
Agree,1,Strongly agree
Agree,2,Agree
Agree,3,Disagree
Agree,4,Strongly disagree
Agree,8,Invalid
Agree,9,Miss
Agree,7,N/A
ST2801,1,None
ST2801,2,1 or 2 times
ST2801,3,3 or 4 times
ST2801,4,5 or more times
ST2801,8,Invalid
ST2801,9,Miss
ST2801,7,N/A
Confid,1,Very confident
Confid,2,Confident
Confid,3,Not very confident
Confid,4,Not at all confident
Confid,8,Invalid
Confid,9,Miss
Confid,7,N/A
Lesson,1,Every lesson
Lesson,2,Most lessons
Lesson,3,Some lessons
Lesson,4,Never or hardly ever
Lesson,8,Invalid
Lesson,9,Miss
Lesson,7,N/A
NEVER,1,"No, never"
NEVER,2,"Yes, once"
NEVER,3,"Yes, twice or more"
NEVER,8,Invalid
NEVER,9,Miss
NEVER,7,N/A
Change,1,"No, all <ISCED 1> same school"
Change,2,"Yes, changed once"
Change,3,"Yes, changed twice or more"
Change,8,Invalid
Change,9,Miss
Change,7,N/A
YESNO,1,Yes
YESNO,2,No
YESNO,8,Invalid
YESNO,9,Miss
YESNO,7,N/A
EC0601,1,<high level>
EC0601,2,<medium level>
EC0601,3,<basic level>
EC0601,8,Invalid
EC0601,9,Miss
EC0601,7,N/A
EC0702,1,At or above <pass mark>
EC0702,2,Below <pass mark>
EC0702,8,Invalid
EC0702,9,Miss
EC0702,7,N/A
IC0301,1,Less than 1 year
IC0301,2,1 to 3 years
IC0301,3,3 to 5 years
IC0301,4,More than 5 years
IC0301,8,Invalid
IC0301,9,Miss
IC0301,7,N/A
Freq,1,Almost every day
Freq,2,A few times each week
Freq,3,Between 1 pwk & 1 pmn
Freq,4,Less than 1 pmn
Freq,5,Never
Freq,8,Invalid
Freq,9,Miss
Freq,7,N/A
Do,1,Can do well
Do,2,Can do with help
Do,3,Cannot do
Do,4,Don’t know
Do,8,Invalid
Do,9,Miss
Do,7,N/A
IC0801,1,My school
IC0801,2,My friends
IC0801,3,My family
IC0801,4,Taught myself
IC0801,5,Others
IC0801,8,Invalid
IC0801,9,Miss
IC0801,7,N/A
IC0901,1,Don’t know how to use
IC0901,2,My school
IC0901,3,My friends
IC0901,4,My family
IC0901,5,Taught myself
IC0901,6,Others
IC0901,8,Invalid
IC0901,9,Miss
IC0901,7,N/A
ISCEDL,1,ISCED level 1
ISCEDL,2,ISCED level 2
ISCEDL,3,ISCED level 3
ISCEDD,1,A
ISCEDD,2,B
ISCEDD,3,C
ISCEDD,4,M
ISCEDO,1,General
ISCEDO,2,Pre-Vocational
ISCEDO,3,Vocational
FAMSTR,1,Single parent family
FAMSTR,2,Nuclear family
FAMSTR,3,Mixed family
FAMSTR,4,Other
FAMSTR,7,N/A
FAMSTR,8,Invalid
FAMSTR,9,Missing
HISEI,97,N/A
HISEI,98,Invalid
HISEI,99,Missing
ST11R01,1,None
ST11R01,2,ISCED 1
ST11R01,3,ISCED 2
ST11R01,4,"ISCED 3B, C"
ST11R01,5,ISCED 3A
ST11R01,9,Missing
ST13R01,1,None
ST13R01,2,ISCED 1
ST13R01,3,ISCED 2
ST13R01,4,"ISCED 3B, C"
ST13R01,5,ISCED 3A
ST13R01,9,Missing
MISCED,0,None
MISCED,1,ISCED 1
MISCED,2,ISCED 2
MISCED,3,"ISCED 3B, C"
MISCED,4,"ISCED 3A, ISCED 4"
MISCED,5,ISCED 5B
MISCED,6,"ISCED 5A, 6"
MISCED,9,Missing
SISCED,0,None
SISCED,1,ISCED 2
SISCED,2,"ISCED 3B, C"
SISCED,3,"ISCED 3A, ISCED 4"
SISCED,4,ISCED 5B
SISCED,5,"ISCED 5A, 6"
SISCED,9,Missing
IMMIG,1,Native students
IMMIG,2,First-Generation students
IMMIG,3,Non-native students
IMMIG,7,N/A
IMMIG,8,Invalid
IMMIG,9,Missing
GRADE,7,N/A
GRADE,8,Invalid
GRADE,9,Missing
RMHMWK,997,N/A
RMHMWK,998,Invalid
RMHMWK,999,Missing
WBCATEG,1,White Collar high skilled
WBCATEG,2,White Collar low skilled
WBCATEG,3,Blue Collar high skilled
WBCATEG,4,Blue Collar low skilled
WBCATEG,9,Missing
LANG,1,Foreign language
LANG,0,Test language or other national language
LANG,8,Invalid
LANG,9,Miss
LANG,7,N/A
oecd,1,OECD country
oecd,0,Partner country
uh,1,One-hour booklet
uh,0,Two-hour booklet
subnat,0360,Australia
subnat,0400,Austria
subnat,0560,Belgium
subnat,0760,Brazil
subnat,1240,Canada
subnat,2030,Czech Republic
subnat,2080,Denmark
subnat,2460,Finland
subnat,2500,France
subnat,2760,Germany
subnat,3000,Greece
subnat,3440,Hong Kong SAR
subnat,3480,Hungary
subnat,3520,Iceland
subnat,3600,Indonesia
subnat,3720,Ireland
subnat,3801,Italy: Veneto-Nord Est
subnat,3802,Italy: Trento-Nord-Est
subnat,3803,Italy: Toscana-Centro
subnat,3804,Italy: Piemonte-Nord-Ovest
subnat,3805,Italy: Lombardia-Nord Ovest
subnat,3806,Italy: Bolzano
subnat,3807,Italy: Other regions
subnat,3920,Japan
subnat,4100,Korea
subnat,4280,Latvia
subnat,4380,Liechtenstein
subnat,4420,Luxembourg
subnat,4460,Macao SAR
subnat,4840,Mexico
subnat,5280,Netherlands
subnat,5540,New Zealand
subnat,5780,Norway
subnat,6160,Poland
subnat,6200,Portugal
subnat,6430,Russian Federation
subnat,7030,Slovak Republic
subnat,7241,Spain: Other regions
subnat,7242,Spain: Castilia y Leon
subnat,7243,Spain: Catalonia
subnat,7244,Spain: Basque Country
subnat,7520,Sweden
subnat,7560,Switzerland
subnat,7640,Thailand
subnat,7880,Tunisia
subnat,7920,Turkey
subnat,8261,"United Kingdom: England, Wales & NI"
subnat,8262,United Kingdom: Scotland
subnat,8400,United States
subnat,8580,Uruguay
subnat,8910,Yugoslavia
LANGN,036001,AUS: English
LANGN,036002,AUS: Indigenous Australian languages
LANGN,036003,AUS: Italian
LANGN,036004,AUS: Greek
LANGN,036005,AUS: Cantonese
LANGN,036006,AUS: Mandarin
LANGN,036007,AUS: Arabic
LANGN,036008,AUS: Vietnamese
LANGN,036009,AUS: German
LANGN,036010,AUS: Spanish
LANGN,036011,AUS: Tagalog (Philippines)
LANGN,036012,AUS: Other languages
LANGN,040001,AUT: German
LANGN,040002,AUT: Turkish
LANGN,040003,AUT: Serbo-Croat
LANGN,040004,AUT: Romanian
