col_names, begin, end,width,whole_places,frac_places
COUNTRY,1,3,3,3,0
CNT,4,6,3,3,0
SUBNATIO,7,10,4,4,0
SCHOOLID,11,15,5,5,0
STIDSTD,16,20,5,5,0
ST01Q01,22,23,2,2,0
ST02Q02,24,25,2,2,0
ST02Q03,26,27,2,2,0
ST03Q01,28,28,1,1,0
ST04Q01,29,29,1,1,0
ST04Q02,30,30,1,1,0
ST04Q03,31,31,1,1,0
ST04Q04,32,32,1,1,0
ST04Q05,33,33,1,1,0
ST05Q01,34,34,1,1,0
ST06Q01,35,35,1,1,0
ST07Q01,36,39,4,4,0
ST09Q01,40,43,4,4,0
ST11R01,44,44,1,1,0
ST12Q01,45,45,1,1,0
ST12Q02,46,46,1,1,0
ST12Q03,47,47,1,1,0
ST13R01,48,48,1,1,0
ST14Q01,49,49,1,1,0
ST14Q02,50,50,1,1,0
ST14Q03,51,51,1,1,0
ST15Q01,52,53,2,2,0
ST15Q02,54,55,2,2,0
ST15Q03,56,57,2,2,0
ST15Q04,58,65,8,3,3
ST16Q01,66,67,2,2,0
ST17Q01,68,68,1,1,0
ST17Q02,69,69,1,1,0
ST17Q03,70,70,1,1,0
ST17Q04,71,71,1,1,0
ST17Q05,72,72,1,1,0
ST17Q06,73,73,1,1,0
ST17Q07,74,74,1,1,0
ST17Q08,75,75,1,1,0
ST17Q09,76,76,1,1,0
ST17Q10,77,77,1,1,0
ST17Q11,78,78,1,1,0
ST17Q12,79,79,1,1,0
ST17Q13,80,80,1,1,0
ST17Q14,81,85,5,5,0
ST17Q15,86,90,5,5,0
ST17Q16,91,95,5,5,0
ST19Q01,96,96,1,1,0
ST20Q01,97,97,1,1,0
ST21Q01,98,102,5,3,1
ST22Q01,103,103,1,1,0
ST22Q02,104,104,1,1,0
ST22Q03,105,105,1,1,0
ST23Q01,106,106,1,1,0
ST23Q02,107,107,1,1,0
ST23Q03,108,108,1,1,0
ST23Q04,109,109,1,1,0
ST23Q05,110,110,1,1,0
ST23Q06,111,111,1,1,0
ST24Q01,112,112,1,1,0
ST24Q02,113,113,1,1,0
ST24Q03,114,114,1,1,0
ST24Q04,115,115,1,1,0
ST25Q01,116,116,1,1,0
ST25Q02,117,117,1,1,0
ST25Q03,118,118,1,1,0
ST25Q04,119,119,1,1,0
ST25Q05,120,120,1,1,0
ST25Q06,121,121,1,1,0
ST26Q01,122,122,1,1,0
ST26Q02,123,123,1,1,0
ST26Q03,124,124,1,1,0
ST26Q04,125,125,1,1,0
ST26Q05,126,126,1,1,0
ST27Q01,127,127,1,1,0
ST27Q02,128,128,1,1,0
ST27Q03,129,129,1,1,0
ST27Q04,130,130,1,1,0
ST27Q05,131,131,1,1,0
ST27Q06,132,132,1,1,0
ST28Q01,133,133,1,1,0
ST29Q01,134,141,8,3,3
ST29Q02,142,149,8,3,3
ST29Q03,150,157,8,3,3
ST29Q04,158,165,8,3,3
ST29Q05,166,173,8,3,3
ST29Q06,174,181,8,3,3
ST30Q01,182,182,1,1,0
ST30Q02,183,183,1,1,0
ST30Q03,184,184,1,1,0
ST30Q04,185,185,1,1,0
ST30Q05,186,186,1,1,0
ST30Q06,187,187,1,1,0
