OECDF,,
,0,"Non-OECD"                                                                                                   
,1,"OECD"                                                                                                      
CNTF,,                                                                                                               
,"ARG","Argentina"                                                                                                  
,"AUS","Australia"                                                                                                  
,"AUT","Austria"                                                                                                    
,"AZE","Azerbaijan"                                                                                                 
,"BEL","Belgium"                                                                                                    
,"BGR","Bulgaria"                                                                                                   
,"BRA","Brazil"                                                                                                     
,"CAN","Canada"                                                                                                     
,"CHE","Switzerland"                                                                                                
,"CHL","Chile"                                                                                                      
,"COL","Colombia"                                                                                                   
,"CZE","Czech Republic"                                                                                             
,"DEU","Germany"                                                                                                    
,"DNK","Denmark"                                                                                                    
,"ESP","Spain"                                                                                                      
,"EST","Estonia"                                                                                                    
,"FIN","Finland"                                                                                                    
,"FRA","France"                                                                                                     
,"GBR","United Kingdom"                                                                                             
,"GRC","Greece"                                                                                                     
,"HKG","Hong Kong-China"                                                                                            
,"HRV","Croatia"                                                                                                    
,"HUN","Hungary"                                                                                                    
,"IDN","Indonesia"                                                                                                  
,"IRL","Ireland"                                                                                                    
,"ISL","Iceland"                                                                                                    
,"ISR","Israel"                                                                                                     
,"ITA","Italy"                                                                                                      
,"JOR","Jordan"                                                                                                     
,"JPN","Japan"                                                                                                      
,"KGZ","Kyrgyzstan"                                                                                                 
,"KOR","Korea"                                                                                                      
,"LIE","Liechtenstein"                                                                                              
,"LTU","Lithuania"                                                                                                  
,"LUX","Luxembourg"                                                                                                 
,"LVA","Latvia"                                                                                                     
,"MAC","Macao-China"                                                                                                
,"MEX","Mexico"                                                                                                     
,"MNE","Montenegro"                                                                                                 
,"NLD","Netherlands"                                                                                                
,"NOR","Norway"                                                                                                     
,"NZL","New Zealand"                                                                                                
,"POL","Poland"                                                                                                     
,"PRT","Portugal"                                                                                                   
,"QAT","Qatar"                                                                                                      
,"ROU","Romania"                                                                                                    
,"RUS","Russian Federation"                                                                                         
,"SRB","Serbia   "                                                                                                  
,"SVK","Slovak Republic"                                                                                            
,"SVN","Slovenia "                                                                                                  
,"SWE","Sweden"                                                                                                     
,"TAP","Chinese Taipei"                                                                                             
,"THA","Thailand"                                                                                                   
,"TUN","Tunisia"                                                                                                    
,"TUR","Turkey"                                                                                                     
,"URY","Uruguay"                                                                                                    
,"USA","United States"                                                                                             
,
countryF,,
,"031","Azerbaijan"                                                                                                
,"032","Argentina"                                                                                                 
,"036","Australia"                                                                                                 
,"040","Austria"                                                                                                   
,"056","Belgium"                                                                                                   
,"076","Brazil"                                                                                                    
,"100","Bulgaria"                                                                                                  
,"124","Canada"                                                                                                    
,"152","Chile"                                                                                                     
,"158","Chinese Taipei"                                                                                            
,"170","Colombia"                                                                                                  
,"191","Croatia"                                                                                                   
,"203","Czech Republic"                                                                                            
,"208","Denmark"                                                                                                   
,"233","Estonia"                                                                                                   
,"246","Finland"                                                                                                   
,"250","France"                                                                                                    
,"276","Germany"                                                                                                   
,"300","Greece"                                                                                                    
,"344","Hong Kong-China"                                                                                           
,"348","Hungary"                                                                                                   
,"352","Iceland"                                                                                                   
,"360","Indonesia"                                                                                                 
,"372","Ireland"                                                                                                   
,"376","Israel"                                                                                                    
,"380","Italy"                                                                                                     
,"392","Japan"                                                                                                     
,"400","Jordan"                                                                                                    
,"410","Korea"                                                                                                     
,"417","Kyrgyzstan"                                                                                                
,"428","Latvia"                                                                                                    
,"438","Liechtenstein"                                                                                             
,"440","Lithuania"                                                                                                 
,"442","Luxembourg"                                                                                                
,"446","Macao-China"                                                                                               
,"484","Mexico"                                                                                                    
,"499","Montenegro"                                                                                                
,"528","Netherlands"                                                                                               
,"554","New Zealand"                                                                                               
,"578","Norway"                                                                                                    
,"616","Poland"                                                                                                    
,"620","Portugal"                                                                                                  
,"634","Qatar"                                                                                                     
,"642","Romania"                                                                                                   
,"643","Russian Federation"                                                                                        
,"688","Serbia"                                                                                                    
,"703","Slovak Republic"                                                                                           
,"705","Slovenia"                                                                                                  
,"724","Spain"                                                                                                     
,"752","Sweden"                                                                                                    
