OECD,"OECD country"                                                                        
CNT,"Country code 3-character"                                                            
COUNTRY,"Country code ISO 3-digit"                                                            
SUBNATIO,"Adjudicated sub-region"                                                              
SCHOOLID,"School ID 5-digit"                                                                   
SC01Q01,"Number of boys Q1a"                                                                  
SC01Q02,"Number of girls Q1b"                                                                 
SC02Q01,"Public or private Q2"                                                                
SC03Q01,"Funding government Q3a"                                                              
SC03Q02,"Funding student fees Q3b"                                                            
SC03Q03,"Funding benefactors Q3c"                                                             
SC03Q04,"Funding other Q3d"                                                                   
SC04Q01,"Grade 1 Q4a"                                                                         
SC04Q02,"Grade 2 Q4b"                                                                         
SC04Q03,"Grade 3 Q4c"                                                                         
SC04Q04,"Grade 4 Q4d"                                                                         
SC04Q05,"Grade 5 Q4e"                                                                         
SC04Q06,"Grade 6 Q4f"                                                                         
SC04Q07,"Grade 7 Q4g"                                                                         
SC04Q08,"Grade 8 Q4h"                                                                         
SC04Q09,"Grade 9 Q4i"                                                                         
SC04Q10,"Grade 10 Q4j"                                                                        
SC04Q11,"Grade 11 Q4k"                                                                        
SC04Q12,"Grade 12 Q4l"                                                                        
SC04Q13,"Grade 13 Q4m"                                                                        
SC04Q14,"Ungraded school Q4n"                                                                 
SC05Q01,"Repeat <grade> at <ISCED2> Q5a"                                                      
SC05Q02,"Repeat <grade> at <ISCED3> Q5b"                                                      
SC06Q01,"Size <test lang> classes <modal 15 year old grade> Q6"                               
SC07Q01,"School community Q7"                                                                 
SC08Q01,"Streaming between classes Q8a"                                                       
SC08Q02,"Streaming within classes Q8b"                                                        
SC09Q11,"Full time teachers in TOTAL Q9a1"                                                    
SC09Q12,"Part time teachers in TOTAL Q9a2"                                                    
SC09Q21,"Full time teachers fully certified Q9b1"                                             
SC09Q22,"Part time teachers fully certified Q9b2"                                             
SC09Q31,"Full time teachers ISCED5A Qual Q9c1"                                                
SC09Q32,"Part time teachers ISCED5A Qual Q9c2"                                                
SC10Q01,"Fill science teaching vacancy Q10"                                                   
SC11Qa1,"Responsibility teacher hire - Principal or teachers Q11a1"                           
SC11Qa2,"Responsibility teacher hire - School governing board Q11a2"                          
SC11Qa3,"Responsibility teacher hire - Intermediate education authority Q11a3"                
SC11Qa4,"Responsibility teacher hire - Central education authority Q11a4"                     
SC11Qb1,"Responsibility firing teachers - Principal or teachers Q11b1"                        
SC11Qb2,"Responsibility firing teachers - School governing board Q11b2"                       
SC11Qb3,"Responsibility firing teachers - Intermediate education authority Q11b3"             
SC11Qb4,"Responsibility firing teachers - Central education authority Q11b4"                  
SC11Qc1,"Responsibility starting salaries - Principal or teachers Q11c1"                      
SC11Qc2,"Responsibility starting salaries - School governing board Q11c2"                     
SC11Qc3,"Responsibility starting salaries - Intermediate education authority Q11c3"           
SC11Qc4,"Responsibility starting salaries - Central education authority Q11c4"                
SC11Qd1,"Responsibility salary increases - Principal or teachers Q11d1"                       
SC11Qd2,"Responsibility salary increases - School governing board Q11d2"                      
SC11Qd3,"Responsibility salary increases - Intermediate education authority Q11d3"            
SC11Qd4,"Responsibility salary increases - Central education authority Q11d4"                 
SC11Qe1,"Responsibility formulate budget - Principal or teachers Q11e1"                       
SC11Qe2,"Responsibility formulate budget - School governing board Q11e2"                      
