  OECD,"OECD country"
  CNT,"Country code 3-character"
  COUNTRY,"Country code ISO 3-digit"
  SUBNATIO,"Adjudicated sub-region"
  SCHOOLID,"School ID 5-digit"
  STIDSTD,"Student ID 5-digit"
  ST01Q01,"Grade Q1"
  ST02Q01,"Study programme Q2"
  ST03Q02,"Month of birth Q3"
  ST03Q03,"Year of birth Q3"
  ST04Q01,"Gender Q4"
  ST05Q01,"Mother ISCO code Q5a"
  ST06Q01,"Mother <highest schooling> Q6"
  ST07Q01,"Mother <ISCED 5A or 6> Q7a"
  ST07Q02,"Mother <ISCED 5B> Q7b"
  ST07Q03,"Mother <ISCED 4> Q7c"
  ST08Q01,"Father ISCO Code Q8a"
  ST09Q01,"Father <highest schooling> Q9"
  ST10Q01,"Father <ISCED 5A or 6> Q10a"
  ST10Q02,"Father <ISCED 5B> Q10b"
  ST10Q03,"Father <ISCED 4> Q10c"
  ST11Q01,"Self born in country Q11a"
  ST11Q02,"Mother born in country Q11a"
  ST11Q03,"Father born in country Q11a"
  ST11Q04,"Country arrival age Q11b"
  ST12Q01,"Language at home Q12"
  ST13Q01,"Possessions desk Q13a"
  ST13Q02,"Possessions own room Q13b"
  ST13Q03,"Possessions study place Q13c"
  ST13Q04,"Possessions computer Q13d"
  ST13Q05,"Possessions software Q13e"
  ST13Q06,"Possessions Internet Q13f"
  ST13Q07,"Possessions calculator Q13g"
  ST13Q08,"Possessions literature Q13h"
  ST13Q09,"Possessions poetry Q13i"
  ST13Q10,"Possessions art Q13j"
  ST13Q11,"Possessions textbooks Q13k"
  ST13Q12,"Possessions dictionary Q13l"
  ST13Q13,"Possessions dishwasher Q13m"
  ST13Q14,"Possessions <DVD or VCR> Q13n"
  ST13Q15,"Possessions <country-specific item 1> Q13o"
  ST13Q16,"Possessions <country-specific item 2> Q13p"
  ST13Q17,"Possessions <country-specific item 3> Q13q"
  ST14Q01,"How many cell phones Q14a"
  ST14Q02,"How many televisions Q14b"
  ST14Q03,"How many computers Q14c"
  ST14Q04,"How many cars Q14d"
  ST15Q01,"How many books at home Q15"
  ST16Q01,"Sci enjoyment - Have fun Q16a"
  ST16Q02,"Sci enjoyment - Like reading Q16b"
  ST16Q03,"Sci enjoyment - Sci problems Q16c"
  ST16Q04,"Sci enjoyment - New knowledge Q16d"
  ST16Q05,"Sci enjoyment - Learning science Q16e"
  ST17Q01,"Sci tasks - Newspaper Q17a"
  ST17Q02,"Sci tasks - Earthquakes Q17b"
  ST17Q03,"Sci tasks - Antibiotics Q17c"
  ST17Q04,"Sci tasks - Garbage Q17d"
  ST17Q05,"Sci tasks - Species survival Q17e"
  ST17Q06,"Sci tasks - Food labels Q17f"
  ST17Q07,"Sci tasks - Life on Mars Q17g"
  ST17Q08,"Sci tasks - Acid rain Q17h"
  ST18Q01,"Sci value - Living conditions Q18a"
  ST18Q02,"Sci value - Natural world Q18b"
  ST18Q03,"Sci value - Relate to others Q18c"
  ST18Q04,"Sci value - Improve economy Q18d"
  ST18Q05,"Sci value - Use as adult Q18e"
  ST18Q06,"Sci value - Value to society Q18f"
  ST18Q07,"Sci value - Relevant to me Q18g"
  ST18Q08,"Sci value - Help understand Q18h"
  ST18Q09,"Sci value - Social benefits Q18i"
