   CNT,"Country code 3-character"
   COUNTRY,"Country code ISO 3-digit"
   OECD,"OECD country"
   SUBNATIO,"Adjudicated sub-region"
   SCHOOLID,"5 digit school ID"
   SC01Q01,"Grade 1"
   SC01Q02,"Grade 2"
   SC01Q03,"Grade 3"
   SC01Q04,"Grade 4"
   SC01Q05,"Grade 5"
   SC01Q06,"Grade 6"
   SC01Q07,"Grade 7"
   SC01Q08,"Grade 8"
   SC01Q09,"Grade 9"
   SC01Q10,"Grade 10"
   SC01Q11,"Grade 11"
   SC01Q12,"Grade 12"
   SC01Q13,"Grade 13"
   SC01Q14,"Ungraded school"
   SC02Q01,"Public or private"
   SC03Q01,"Funding Government"
   SC03Q02,"Funding Student fees"
   SC03Q03,"Funding Benefactors"
   SC03Q04,"Funding Other"
   SC04Q01,"School Community"
   SC05Q01,"Available Schooling"
   SC06Q01,"Number of boys"
   SC06Q02,"Number of girls"
   SC07Q01,"Repeat <grade>  at <ISCED2>"
   SC07Q02,"Repeat <grade>  at <ISCED3>"
   SC08Q01,"First lang not test lang"
   SC09Q11,"Ftime Teach in TOTAL"
   SC09Q12,"Ptime Teach in TOTAL"
   SC09Q21,"Ftime Teach fully certified"
   SC09Q22,"Ptime Teach fully certified"
   SC09Q31,"Ftime Teach ISCED5A Qual"
   SC09Q32,"Ptime Teach ISCED5A Qual"
   SC10Q01,"Total number of students"
   SC10Q02,"Computers for Education"
   SC10Q03,"Computers with Internet"
   SC11Q01,"Shortage of Sci Teachers"
   SC11Q02,"Shortage of Math Teachers"
   SC11Q03,"Shortage <test lang> Teachers"
   SC11Q04,"Shortage Qualified Teachers"
   SC11Q05,"Shortage library staff"
   SC11Q06,"Shortage other personnel"
   SC11Q07,"Shortage sci lab equip"
   SC11Q08,"Shortage instruct material"
   SC11Q09,"Shortage computers"
   SC11Q10,"Shortage internet"
   SC11Q11,"Shortage computer software"
   SC11Q12,"Shortage library materials"
   SC11Q13,"Shortage audio-visual"
   SC12Q01,"Streaming by levels"
   SC12Q02,"Streaming by content"
   SC13Q01,"Band or choir"
   SC13Q02,"School Play"
   SC13Q03,"School Yearbook"
   SC13Q04,"Volunteering"
   SC13Q05,"Book Club"
   SC13Q06,"Debating Club"
   SC13Q07,"School competition"
   SC13Q08,"<Academic Club>"
   SC13Q09,"Art Activities"
   SC13Q10,"Sporting Team"
   SC13Q11,"Lectures or Seminars"
   SC13Q12,"Local Libraries"
   SC13Q13,"Local Newspapers"
   SC13Q14,"<Country Specific>"
   SC14Q01,"Additional Instruction"
   SC14Q02,"Preparatory Programme"
   SC14Q03,"Some <first lang> instruction"
   SC14Q04,"More  <first lang> instruction"
   SC14Q05,"Class size reduced"
   SC15Q01,"Standardised Tests"
   SC15Q02,"Teacher-developed tests"
   SC15Q03,"Teacher judgements"
   SC15Q04,"Student portfolios"
   SC15Q05,"Student Assignments"
   SC16Q01,"Assessments - Child's Progress"
   SC16Q02,"Assessments - Student Promotion"
   SC16Q03,"Assessments - Instruction"
   SC16Q04,"Assessments - National Perform"
   SC16Q05,"Assessments - School's Progress"
   SC16Q06,"Assessments - Teachers"
   SC16Q07,"Assessments - Curriculum"
   SC16Q08,"Assessments - Other Schools"
   SC17Q01,"Teacher's low expectations"
   SC17Q02,"Student absenteeism"
   SC17Q03,"Student-teacher relations"
   SC17Q04,"Student Disruption"
   SC17Q05,"Student's needs not met"
   SC17Q06,"Teacher absenteeism"
   SC17Q07,"Skipping classes"
   SC17Q08,"Students lacking respect"
   SC17Q09,"Staff resisting change"
   SC17Q10,"Student drug use"
   SC17Q11,"Teachers too strict"
   SC17Q12,"Students being bullied"
   SC17Q13,"Students not encouraged"
   SC18Q01,"Pressure Academic standards"
   SC19Q01,"Admission - Residence"
   SC19Q02,"Admission - Academic record"
   SC19Q03,"Admission - Feeder schools"
   SC19Q04,"Admission - Parent's endorsement"
   SC19Q05,"Admission - Special Programme"
   SC19Q06,"Admission - Family members"
   SC19Q07,"Admission - Other"
   SC20Q01,"Transfer - Low Achievement"
   SC20Q02,"Transfer - High Achievement"
   SC20Q03,"Transfer - Behaviour problems"
   SC20Q04,"Transfer - Special learning"
   SC20Q05,"Transfer - Parents request"
   SC20Q06,"Transfer - other reasons"
   SC21Q01,"Relative to other students"
   SC21Q02,"Relative to benchmarks"
   SC21Q03,"Relative to same grade"
   SC22Q01,"Achievement Public"
   SC22Q02,"Achievement Principal"
   SC22Q03,"Achievement Teachers"
   SC22Q04,"Achievement Resources"
   SC22Q05,"Achievement Tracked"
   SC23Q01,"Student Achievement tests"
   SC23Q02,"Teacher peer review"
   SC23Q03,"Principal staff"
   SC23Q04,"External observers"
