column,key,value
CNT,ALB,Albania
CNT,ARG,Argentina
CNT,AUS,Australia
CNT,AUT,Austria
CNT,AZE,Azerbaijan
CNT,BEL,Belgium
CNT,BRA,Brazil
CNT,BGR,Bulgaria
CNT,CAN,Canada
CNT,CHL,Chile
CNT,TAP,Chinese Taipei
CNT,COL,Colombia
CNT,HRV,Croatia
CNT,CZE,Czech Republic
CNT,DNK,Denmark
CNT,EST,Estonia
CNT,FIN,Finland
CNT,FRA,France
CNT,DEU,Germany
CNT,GRC,Greece
CNT,HKG,Hong Kong-China
CNT,HUN,Hungary
CNT,ISL,Iceland
CNT,IDN,Indonesia
CNT,IRL,Ireland
CNT,ISR,Israel
CNT,ITA,Italy
CNT,JPN,Japan
CNT,JOR,Jordan
CNT,KAZ,Kazakhstan
CNT,KOR,Korea
CNT,KGZ,Kyrgyzstan
CNT,LVA,Latvia
CNT,LIE,Liechtenstein
CNT,LTU,Lithuania
CNT,LUX,Luxembourg
CNT,MAC,Macao-China
CNT,MEX,Mexico
CNT,MNE,Montenegro
CNT,NLD,Netherlands
CNT,NZL,New Zealand
CNT,NOR,Norway
CNT,PAN,Panama
CNT,PER,Peru
CNT,POL,Poland
CNT,PRT,Portugal
CNT,QAT,Qatar
CNT,ROU,Romania
CNT,RUS,Russian Federation
CNT,SRB,Serbia
CNT,QCN,Shanghai-China
CNT,SGP,Singapore
CNT,SVK,Slovak Republic
CNT,SVN,Slovenia
CNT,ESP,Spain
CNT,SWE,Sweden
CNT,CHE,Switzerland
CNT,THA,Thailand
CNT,TTO,Trinidad and Tobago
CNT,TUN,Tunisia
CNT,TUR,Turkey
CNT,GBR,United Kingdom
CNT,USA,United States
CNT,URY,Uruguay
CNT,CRI,Costa Rica
CNT,ARE,United Arab Emirates
CNT,GEO,Georgia   
CNT,MYS,Malaysia  
CNT,MLT,Malta
CNT,MUS,Mauritius 
CNT,MDA,Republic of Moldova
CNT,QHP,Himachal Pradesh-India
CNT,QTN,Tamil Nadu-India  
CNT,QVE,Miranda-Venezuela   
Country,008,Albania
Country,032,Argentina
Country,036,Australia
Country,040,Austria
Country,031,Azerbaijan
Country,056,Belgium
