factor,levels
CNT,CNT
COUNTRY,COUNTRY
OECD,OECD
SUBNATIO,SUBNATIO
ST01Q01,ST01
ST02Q01,ST02
ST03Q02,ST03
ST03Q03,ST03
ST04Q01,ST04
ST05Q01,ST05
ST06Q01,ind
ST07Q01,ST07
ST07Q02,ST07
ST07Q03,ST07
ST08Q01,ST08
ST08Q02,ST08
ST08Q03,ST08
ST08Q04,ST08
ST08Q05,ST08
ST08Q06,ST08
ST09Q01,OCCM
ST10Q01,ST10
ST11Q01,ST11
ST11Q02,ST11
ST11Q03,ST11
ST11Q04,ST11
ST12Q01,ST12
ST13Q01,OCCM
ST14Q01,ST14
ST15Q01,ST15
ST15Q02,ST15
ST15Q03,ST15
ST15Q04,ST15
ST16Q01,ST16
ST17Q01,ST17
ST17Q02,ST17
ST17Q03,ST17
ST18Q01,ind
ST19Q01,ST19
ST20Q01,ST20
ST20Q02,ST20
ST20Q03,ST20
ST20Q04,ST20
ST20Q05,ST20
ST20Q06,ST20
ST20Q07,ST20
ST20Q08,ST20
ST20Q09,ST20
ST20Q10,ST20
ST20Q11,ST20
ST20Q12,ST20
ST20Q13,ST20
ST20Q14,ST20
ST20Q15,ST20Q15
ST20Q16,ST20Q16
ST20Q17,ST20Q17
ST21Q01,ST21
ST21Q02,ST21
ST21Q03,ST21
ST21Q04,ST21
ST21Q05,ST21
ST22Q01,ST22
ST23Q01,ST23
ST24Q01,ST24
ST24Q02,ST24
ST24Q03,ST24
ST24Q04,ST24
ST24Q05,ST24
ST24Q06,ST24
ST24Q07,ST24
ST24Q08,ST24
ST24Q09,ST24
ST24Q10,ST24
ST24Q11,ST24
ST25Q01,ST25
ST25Q02,ST25
ST25Q03,ST25
ST25Q04,ST25
ST25Q05,ST25
ST26Q01,ST26
ST26Q02,ST26
ST26Q03,ST26
ST26Q04,ST26
ST26Q05,ST26
ST26Q06,ST26
ST26Q07,ST26
ST27Q01,ST27
ST27Q02,ST27
ST27Q03,ST27
ST27Q04,ST27
ST27Q05,ST27
ST27Q06,ST27
ST27Q07,ST27
ST27Q08,ST27
ST27Q09,ST27
ST27Q10,ST27
ST27Q11,ST27
ST27Q12,ST27
ST27Q13,ST27
ST28Q01,ST28
ST28Q02,ST28
ST28Q03,ST28
ST29Q01,ST29
ST29Q02,ST29
ST29Q03,ST29
ST30Q01,ST30
ST31Q01,ST31
ST31Q02,ST31
ST31Q03,ST31
ST31Q04,ST31
ST31Q05,ST31
ST31Q06,ST31
ST31Q07,ST31
ST31Q08,ST31
ST31Q09,ST31
ST32Q01,ST32
ST32Q02,ST32
ST32Q03,ST32
ST32Q04,ST32
ST33Q01,ST33
ST33Q02,ST33
ST33Q03,ST33
ST33Q04,ST33
ST34Q01,ST34
ST34Q02,ST34
ST34Q03,ST34
ST34Q04,ST34
ST34Q05,ST34
ST35Q01,ST35
ST36Q01,ST36
ST36Q02,ST36
ST36Q03,ST36
ST36Q04,ST36
