NC,"National Centre 6-digit Code"
CNT,"Country code 3-character" 
OECD,"OECD country"                
SUBNATIO,"Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
STRATUM,"Stratum ID 7-character (cnt + region ID + original stratum ID)"
SCHOOLID,"School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
STIDSTD,"Student ID"
PA01Q01,"Completed Quest  -  Mother"
PA01Q02,"Completed Quest  -  Father"
PA01Q03,"Completed Quest  -  Other"
PA02Q01,"Parent Age - Father"
PA02Q02,"Parent Age - Mother"
PA03Q01,"Father Qualification - <ISCED level 5A, 6>"
PA03Q02,"Father Qualification - <ISCED level 5B>"
PA03Q03,"Father Qualification - <ISCED level 4>"
PA03Q04,"Father Qualification - <ISCED level 3A>"
PA05Q01,"Mother Qualification - <ISCED level 5A, 6>"
PA05Q02,"Mother Qualification - <ISCED level 5B>"
PA05Q03,"Mother Qualification - <ISCED level 4>"
PA05Q04,"Mother Qualification - <ISCED level 3A>"
PA07Q01,"Annual Household Income"
PA08Q01,"Education Cost"
PA09Q01,"School  -  Teach Competent"
PA09Q02,"School  -  Achieve High"
PA09Q03,"School  -  Content Good"
PA09Q04,"School  -  Discipline Good"
PA09Q05,"School  -  Progress Monitored"
PA09Q06,"School  -  Progress Information"
PA09Q07,"School  -  Education Good"
PA10Q01,"Activities - Discuss behaviour own initiative"
PA10Q02,"Activities - Discuss behaviour teacher"
PA10Q03,"Activities - Volunteer maintenance"
PA10Q04,"Activities - Volunteer clubs"
PA10Q05,"Activities - Volunteer library"
PA10Q06,"Activities - Assist teacher"
PA10Q07,"Activities - Guest speaker"
PA10Q08,"Activities - School government"
PA10Q09,"Activities - Discuss progress own initiative"
PA10Q10,"Activities - Discuss progress teacher"
PA10Q11,"Activities - Volunteer in school canteen"
PA11Q01,"Available Schooling"
PA12Q01,"School Selection - Short distance"
PA12Q02,"School Selection - Good reputation"
PA12Q03,"School Selection - Course availability"
PA12Q04,"School Selection - Particular philosophy"
PA12Q05,"School Selection - Teaching approach"
PA12Q06,"School Selection - Other family members"
PA12Q07,"School Selection - Low expenses"
PA12Q08,"School Selection - Financial aid"
PA12Q09,"School Selection - Pleasant environment"
PA12Q10,"School Selection - High achievements"
PA12Q11,"School Selection - Safe environment"
PA13Q01,"With Child  - Wellbeing at school"
