NC,"National Centre 6-digit Code"
CNT,"Country code 3-character"
OECD,"OECD country"
SUBNATIO,"Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)"
STRATUM,"Stratum ID 7-character (cnt + region ID + original stratum ID)"
SCHOOLID,"School ID 7-digit (region ID + stratum ID + 3-digit school ID)"
SC01Q01,"Public or private"
SC02Q01,"Funding - Government"
SC02Q02,"Funding - Student fees"
SC02Q03,"Funding - Benefactors"
SC02Q04,"Funding - Other"
SC03Q01,"School Location"
SC04Q01,"Competition between schools"
SC05Q01,"Class size in <test language>"
SC07Q01,"Enrolment - Number of boys"
SC07Q02,"Enrolment - Number of girls"
SC09Q11,"No. of teachers - Total Full Time"
SC09Q12,"No. of teachers - Total Part time"
SC09Q21,"No. of teachers - Certified Full Time"
SC09Q22,"No. of teachers - Certified Part Time"
SC09Q31,"No. of teachers - <ISCED5A> Qualified Full Time"
SC09Q32,"No. of teachers - <ISCED5A> Qualified Part Time"
SC10Q11,"No. of maths teachers - Total Full Time"
SC10Q12,"No. of maths teachers - Total Part time"
SC10Q21,"No. of maths teachers - <ISCED5A> Qual Maths Major Full Time"
SC10Q22,"No. of maths teachers - <ISCED5A> Qual Maths Major Part Time"
SC10Q41,"No. of maths teachers - <ISCED5A> Qual Pedagogy Full Time"
SC10Q42,"No. of maths teachers - <ISCED5A> Qual Pedagogy Part Time"
SC10Q51,"No. of maths teachers - <ISCED5B> Qual Full Time"
SC10Q52,"No. of maths teachers - <ISCED5B> Qual Part Time"
SC10Q61,"No. of maths teachers - <ISCED5A> Qual Full Time"
SC10Q62,"No. of maths teachers - <ISCED5A> Qual Part Time"
SC11Q01,"Student Computers - Total number of students in the <national modal grade for 15-year-olds>"
SC11Q02,"Student Computers - Computers for Education"
SC11Q03,"Student Computers - Computers with Internet"
SC13Q01,"Internet schoolwork - Lessons"
SC13Q02,"Internet schoolwork - Homework"
SC13Q03,"Internet schoolwork - Assignments"
SC14Q01,"Shortage - Science teachers"
SC14Q02,"Shortage - Maths teachers"
SC14Q03,"Shortage - <Test language> teachers"
SC14Q04,"Shortage - Other teachers"
SC14Q05,"Shortage - Science lab equipment"
SC14Q06,"Shortage - Instructional materials"
SC14Q07,"Shortage - Computers for instruction"
SC14Q08,"Shortage - Internet connectivity"
SC14Q09,"Shortage - Computer software"
