column,key,value
CNT,ALB,Albania
CNT,ARG,Argentina
CNT,AUS,Australia
CNT,AUT,Austria
CNT,BEL,Belgium
CNT,BRA,Brazil
CNT,BGR,Bulgaria
CNT,CAN,Canada
CNT,CHL,Chile
CNT,QCN,Shanghai-China
CNT,TAP,Chinese Taipei
CNT,COL,Colombia
CNT,CRI,Costa Rica
CNT,HRV,Croatia
CNT,CZE,Czech Republic
CNT,DNK,Denmark
CNT,EST,Estonia
CNT,FIN,Finland
CNT,FRA,France
CNT,DEU,Germany
CNT,GRC,Greece
CNT,HKG,Hong Kong-China
CNT,HUN,Hungary
CNT,ISL,Iceland
CNT,IDN,Indonesia
CNT,IRL,Ireland
CNT,ISR,Israel
CNT,ITA,Italy
CNT,JPN,Japan
CNT,JOR,Jordan
CNT,KAZ,Kazakhstan
CNT,KOR,Korea
CNT,LVA,Latvia
CNT,LIE,Liechtenstein
CNT,LTU,Lithuania
CNT,LUX,Luxembourg
CNT,MAC,Macao-China
CNT,MYS,Malaysia
CNT,MEX,Mexico
CNT,MNE,Montenegro
CNT,NLD,Netherlands
CNT,NZL,New Zealand
CNT,NOR,Norway
CNT,QRS,Perm(Russian Federation)
CNT,PER,Peru
CNT,POL,Poland
CNT,PRT,Portugal
CNT,QAT,Qatar
CNT,ROU,Romania
CNT,RUS,Russian Federation
CNT,SRB,Serbia
CNT,SGP,Singapore
CNT,SVK,Slovak Republic
CNT,SVN,Slovenia
CNT,ESP,Spain
CNT,SWE,Sweden
CNT,CHE,Switzerland
CNT,THA,Thailand
CNT,TUN,Tunisia
CNT,TUR,Turkey
CNT,GBR,United Kingdom
CNT,ARE,United Arab Emirates
CNT,USA,United States of America
CNT,URY,Uruguay
CNT,VNM,Viet Nam
CNT,QUA,Florida (USA)
CNT,QUB,Connecticut (USA)
CNT,QUC,Massachusetts (USA)
CNT,N/A,Not applicable
STRATUM,ALB0001,"ALB - stratum 01 : North, Urban, Public"
STRATUM,ALB0002,"ALB - stratum 02 : North, Urban, Private"
STRATUM,ALB0003,"ALB - stratum 03 : North, Rural, Public"
STRATUM,ALB0004,"ALB - stratum 04 : North, Rural, Private"
