col_names, begin, end,width,whole_places,frac_places
CNT,1,3,3,3,0
SUBNATIO,4,10,7,7,0
STRATUM,11,17,7,7,0
OECD,18,18,1,1,0
NC,19,24,6,6,0
SCHOOLID,25,31,7,7,0
StIDStd,32,36,5,5,0
ST01Q01,37,38,2,2,0
ST02Q01,39,40,2,2,0
ST03Q01,41,42,2,2,0
ST03Q02,43,46,4,4,0
ST04Q01,47,47,1,1,0
ST05Q01,48,48,1,1,0
ST06Q01,49,52,4,4,0
ST07Q01,53,53,1,1,0
ST07Q02,54,54,1,1,0
ST07Q03,55,55,1,1,0
ST08Q01,56,56,1,1,0
ST09Q01,57,57,1,1,0
ST115Q01,58,58,1,1,0
ST11Q01,59,59,1,1,0
ST11Q02,60,60,1,1,0
ST11Q03,61,61,1,1,0
ST11Q04,62,62,1,1,0
ST11Q05,63,63,1,1,0
ST11Q06,64,64,1,1,0
ST13Q01,65,65,1,1,0
ST14Q01,66,66,1,1,0
ST14Q02,67,67,1,1,0
ST14Q03,68,68,1,1,0
ST14Q04,69,69,1,1,0
ST15Q01,70,70,1,1,0
ST17Q01,71,71,1,1,0
ST18Q01,72,72,1,1,0
ST18Q02,73,73,1,1,0
ST18Q03,74,74,1,1,0
ST18Q04,75,75,1,1,0
ST19Q01,76,76,1,1,0
ST20Q01,77,77,1,1,0
ST20Q02,78,78,1,1,0
ST20Q03,79,79,1,1,0
ST21Q01,80,83,4,4,0
ST25Q01,84,84,1,1,0
ST26Q01,85,85,1,1,0
ST26Q02,86,86,1,1,0
ST26Q03,87,87,1,1,0
ST26Q04,88,88,1,1,0
ST26Q05,89,89,1,1,0
ST26Q06,90,90,1,1,0
ST26Q07,91,91,1,1,0
ST26Q08,92,92,1,1,0
ST26Q09,93,93,1,1,0
ST26Q10,94,94,1,1,0
ST26Q11,95,95,1,1,0
ST26Q12,96,96,1,1,0
ST26Q13,97,97,1,1,0
ST26Q14,98,98,1,1,0
ST26Q15,99,105,7,7,0
ST26Q16,106,112,7,7,0
ST26Q17,113,119,7,7,0
ST27Q01,120,120,1,1,0
ST27Q02,121,121,1,1,0
ST27Q03,122,122,1,1,0
ST27Q04,123,123,1,1,0
ST27Q05,124,124,1,1,0
ST28Q01,125,125,1,1,0
ST29Q01,126,126,1,1,0
ST29Q02,127,127,1,1,0
ST29Q03,128,128,1,1,0
ST29Q04,129,129,1,1,0
ST29Q05,130,130,1,1,0
ST29Q06,131,131,1,1,0
ST29Q07,132,132,1,1,0
ST29Q08,133,133,1,1,0
ST35Q01,134,134,1,1,0
ST35Q02,135,135,1,1,0
ST35Q03,136,136,1,1,0
ST35Q04,137,137,1,1,0
ST35Q05,138,138,1,1,0
ST35Q06,139,139,1,1,0
ST37Q01,140,140,1,1,0
ST37Q02,141,141,1,1,0
ST37Q03,142,142,1,1,0
ST37Q04,143,143,1,1,0
ST37Q05,144,144,1,1,0
ST37Q06,145,145,1,1,0
ST37Q07,146,146,1,1,0
ST37Q08,147,147,1,1,0
ST42Q01,148,148,1,1,0
ST42Q02,149,149,1,1,0
ST42Q03,150,150,1,1,0
ST42Q04,151,151,1,1,0
ST42Q05,152,152,1,1,0
ST42Q06,153,153,1,1,0
ST42Q07,154,154,1,1,0
ST42Q08,155,155,1,1,0
ST42Q09,156,156,1,1,0
ST42Q10,157,157,1,1,0
ST43Q01,158,158,1,1,0
ST43Q02,159,159,1,1,0
ST43Q03,160,160,1,1,0
ST43Q04,161,161,1,1,0
ST43Q05,162,162,1,1,0
ST43Q06,163,163,1,1,0
ST44Q01,164,164,1,1,0
ST44Q03,165,165,1,1,0
ST44Q04,166,166,1,1,0
ST44Q05,167,167,1,1,0
ST44Q07,168,168,1,1,0
ST44Q08,169,169,1,1,0
ST46Q01,170,170,1,1,0
ST46Q02,171,171,1,1,0
ST46Q03,172,172,1,1,0
ST46Q04,173,173,1,1,0
ST46Q05,174,174,1,1,0
ST46Q06,175,175,1,1,0
ST46Q07,176,176,1,1,0
ST46Q08,177,177,1,1,0
ST46Q09,178,178,1,1,0
ST48Q01,179,179,1,1,0
ST48Q02,180,180,1,1,0
ST48Q03,181,181,1,1,0
ST48Q04,182,182,1,1,0
ST48Q05,183,183,1,1,0
ST49Q01,184,184,1,1,0
ST49Q02,185,185,1,1,0
ST49Q03,186,186,1,1,0
ST49Q04,187,187,1,1,0
ST49Q05,188,188,1,1,0
ST49Q06,189,189,1,1,0
ST49Q07,190,190,1,1,0
ST49Q09,191,191,1,1,0
ST53Q01,192,192,1,1,0
ST53Q02,193,193,1,1,0
ST53Q03,194,194,1,1,0
ST53Q04,195,195,1,1,0
ST55Q01,196,196,1,1,0
ST55Q02,197,197,1,1,0
ST55Q03,198,198,1,1,0
ST55Q04,199,199,1,1,0
ST57Q01,200,203,4,4,0
ST57Q02,204,207,4,4,0
ST57Q03,208,211,4,4,0
ST57Q04,212,215,4,4,0
ST57Q05,216,219,4,4,0
ST57Q06,220,223,4,4,0
ST61Q01,224,224,1,1,0
ST61Q02,225,225,1,1,0
ST61Q03,226,226,1,1,0
ST61Q04,227,227,1,1,0
ST61Q05,228,228,1,1,0
ST61Q06,229,229,1,1,0
ST61Q07,230,230,1,1,0
ST61Q08,231,231,1,1,0
ST61Q09,232,232,1,1,0
ST62Q01,233,233,1,1,0
ST62Q02,234,234,1,1,0
ST62Q03,235,235,1,1,0
ST62Q04,236,236,1,1,0
ST62Q06,237,237,1,1,0
ST62Q07,238,238,1,1,0
ST62Q08,239,239,1,1,0
ST62Q09,240,240,1,1,0
ST62Q10,241,241,1,1,0
ST62Q11,242,242,1,1,0
ST62Q12,243,243,1,1,0
ST62Q13,244,244,1,1,0
ST62Q15,245,245,1,1,0
ST62Q16,246,246,1,1,0
ST62Q17,247,247,1,1,0
ST62Q19,248,248,1,1,0
ST69Q01,249,252,4,4,0
ST69Q02,253,256,4,4,0
ST69Q03,257,260,4,4,0
ST70Q01,261,264,4,4,0
ST70Q02,265,268,4,4,0
ST70Q03,269,272,4,4,0
ST71Q01,273,276,4,4,0
ST72Q01,277,280,4,4,0
ST73Q01,281,281,1,1,0
ST73Q02,282,282,1,1,0
ST74Q01,283,283,1,1,0
ST74Q02,284,284,1,1,0
ST75Q01,285,285,1,1,0
ST75Q02,286,286,1,1,0
ST76Q01,287,287,1,1,0
ST76Q02,288,288,1,1,0
ST77Q01,289,289,1,1,0
ST77Q02,290,290,1,1,0
ST77Q04,291,291,1,1,0
ST77Q05,292,292,1,1,0
ST77Q06,293,293,1,1,0
ST79Q01,294,294,1,1,0
ST79Q02,295,295,1,1,0
ST79Q03,296,296,1,1,0
